Category: All categories

Country,Data science: (1/1/04 - 9/6/19)
St. Helena,100
India,92
Rwanda,
Singapore,87
Botswana,
Zimbabwe,
Nepal,73
Nigeria,64
Ethiopia,
Kenya,58
Ghana,54
Pakistan,49
United States,46
Uganda,
Hong Kong,45
Malawi,
Zambia,
South Africa,38
Australia,37
Cameroon,
Mauritius,
Ireland,34
Philippines,34
United Arab Emirates,32
Bangladesh,32
Sri Lanka,31
Myanmar (Burma),
Canada,30
United Kingdom,29
Jamaica,
Malaysia,27
Lebanon,
Tanzania,
Switzerland,26
South Korea,25
Netherlands,25
New Zealand,25
Qatar,
Côte d’Ivoire,
Cyprus,
Tunisia,21
Armenia,
Trinidad & Tobago,
Luxembourg,
Macao,
Brunei,
Israel,20
Iceland,
Oman,
Senegal,
Greece,16
Portugal,15
Norway,15
Mongolia,
Bahrain,
Austria,14
North Macedonia,
Germany,14
Serbia,14
Denmark,13
Estonia,
Laos,
Puerto Rico,
Belgium,13
Albania,
Egypt,12
Taiwan,12
Morocco,12
Azerbaijan,
Iran,12
Thailand,12
Jordan,
Finland,11
Saudi Arabia,11
Sweden,11
Sudan,
Cambodia,
Costa Rica,
France,10
Chile,10
Kazakhstan,
Kuwait,
Belarus,
China,9
Spain,9
Indonesia,9
Italy,9
Croatia,
Ukraine,8
Panama,
Uruguay,
Russia,8
Brazil,8
Hungary,8
Slovenia,
Czechia,8
Georgia,
Honduras,
Lithuania,
Peru,8
Poland,7
Latvia,
Vietnam,7
Kyrgyzstan,
Bulgaria,
Colombia,6
Algeria,
Palestine,
Mexico,6
Uzbekistan,
Bosnia & Herzegovina,
Guatemala,
Ecuador,
Moldova,
Bolivia,
Romania,5
Slovakia,
Dominican Republic,
Argentina,5
Turkey,4
Iraq,
Paraguay,
Japan,3
Venezuela,
Norfolk Island,
Eritrea,
American Samoa,
Micronesia,
Lesotho,
Eswatini,
U.S. Virgin Islands,
St. Vincent & Grenadines,
Gambia,
Samoa,
Namibia,
Benin,
Papua New Guinea,
Sierra Leone,
Anguilla,
Tonga,
Fiji,
Liechtenstein,
St. Lucia,
Guinea-Bissau,
Bermuda,
Bhutan,
Guam,
Liberia,
Equatorial Guinea,
Aruba,
Solomon Islands,
Guyana,
Afghanistan,
Madagascar,
South Sudan,
Turks & Caicos Islands,
Grenada,
Somalia,
Belize,
Congo - Brazzaville,
St. Kitts & Nevis,
Malta,
Sint Maarten,
Barbados,
Caribbean Netherlands,
Togo,
Northern Mariana Islands,
British Virgin Islands,
Guernsey,
Jersey,
Vanuatu,
Burundi,
Maldives,
Cuba,
Seychelles,
Cayman Islands,
Chad,
Gabon,
Isle of Man,
Gibraltar,
Kosovo,
Haiti,
Niger,
Dominica,
Congo - Kinshasa,
Antigua & Barbuda,
Burkina Faso,
Monaco,
San Marino,
Mozambique,
Bahamas,
Greenland,
Djibouti,
Timor-Leste,
Montenegro,
Andorra,
Suriname,
Angola,
Cape Verde,
Guinea,
Curaçao,
Mali,
Mauritania,
El Salvador,
Faroe Islands,
Syria,
New Caledonia,
Nicaragua,
French Guiana,
Guadeloupe,
Martinique,
Tajikistan,
Libya,
Réunion,
Yemen,
French Polynesia,
Turkmenistan,
Åland Islands,
Antarctica,
French Southern Territories,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Comoros,
Christmas Island,
Western Sahara,
Falkland Islands (Islas Malvinas),
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Martin,
Marshall Islands,
Montserrat,
Mayotte,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
