Category: All categories

Month,Artificial intelligence: (Worldwide)
2004-01,84
2004-02,89
2004-03,87
2004-04,88
2004-05,91
2004-06,84
2004-07,80
2004-08,81
2004-09,89
2004-10,83
2004-11,91
2004-12,87
2005-01,81
2005-02,78
2005-03,74
2005-04,74
2005-05,75
2005-06,70
2005-07,66
2005-08,68
2005-09,72
2005-10,72
2005-11,74
2005-12,70
2006-01,67
2006-02,70
2006-03,68
2006-04,73
2006-05,69
2006-06,68
2006-07,64
2006-08,66
2006-09,74
2006-10,68
2006-11,67
2006-12,63
2007-01,64
2007-02,63
2007-03,69
2007-04,65
2007-05,63
2007-06,68
2007-07,62
2007-08,62
2007-09,64
2007-10,65
2007-11,64
2007-12,65
2008-01,63
2008-02,68
2008-03,67
2008-04,66
2008-05,67
2008-06,66
2008-07,62
2008-08,64
2008-09,65
2008-10,69
2008-11,67
2008-12,62
2009-01,65
2009-02,66
2009-03,66
2009-04,69
2009-05,68
2009-06,74
2009-07,70
2009-08,69
2009-09,71
2009-10,69
2009-11,67
2009-12,66
2010-01,70
2010-02,67
2010-03,67
2010-04,69
2010-05,66
2010-06,62
2010-07,60
2010-08,70
2010-09,66
2010-10,70
2010-11,66
2010-12,66
2011-01,65
2011-02,64
2011-03,62
2011-04,65
2011-05,67
2011-06,63
2011-07,63
2011-08,66
2011-09,65
2011-10,72
2011-11,72
2011-12,73
2012-01,75
2012-02,71
2012-03,75
2012-04,68
2012-05,64
2012-06,60
2012-07,58
2012-08,59
2012-09,60
2012-10,64
2012-11,61
2012-12,62
2013-01,59
2013-02,57
2013-03,58
2013-04,56
2013-05,56
2013-06,56
2013-07,56
2013-08,54
2013-09,54
2013-10,54
2013-11,54
2013-12,54
2014-01,54
2014-02,55
2014-03,52
2014-04,53
2014-05,53
2014-06,51
2014-07,50
2014-08,52
2014-09,59
2014-10,53
2014-11,54
2014-12,55
2015-01,60
2015-02,56
2015-03,54
2015-04,54
2015-05,58
2015-06,56
2015-07,55
2015-08,55
2015-09,56
2015-10,56
2015-11,56
2015-12,56
2016-01,57
2016-02,57
2016-03,65
2016-04,61
2016-05,61
2016-06,62
2016-07,53
2016-08,53
2016-09,59
2016-10,65
2016-11,71
2016-12,68
2017-01,71
2017-02,72
2017-03,74
2017-04,76
2017-05,77
2017-06,77
2017-07,79
2017-08,83
2017-09,82
2017-10,85
2017-11,93
2017-12,90
2018-01,91
2018-02,91
2018-03,90
2018-04,92
2018-05,96
2018-06,89
2018-07,87
2018-08,88
2018-09,93
2018-10,97
2018-11,99
2018-12,91
2019-01,93
2019-02,97
2019-03,98
2019-04,100
2019-05,100
2019-06,99
2019-07,98
2019-08,95
2019-09,100
