Category: All categories

Month,Visualization: (Worldwide)
2004-01,93
2004-02,100
2004-03,90
2004-04,97
2004-05,85
2004-06,78
2004-07,78
2004-08,86
2004-09,81
2004-10,84
2004-11,82
2004-12,69
2005-01,74
2005-02,69
2005-03,77
2005-04,62
2005-05,66
2005-06,64
2005-07,68
2005-08,61
2005-09,63
2005-10,71
2005-11,66
2005-12,58
2006-01,58
2006-02,55
2006-03,62
2006-04,59
2006-05,58
2006-06,54
2006-07,48
2006-08,49
2006-09,54
2006-10,53
2006-11,54
2006-12,49
2007-01,51
2007-02,49
2007-03,51
2007-04,45
2007-05,47
2007-06,46
2007-07,44
2007-08,44
2007-09,47
2007-10,52
2007-11,46
2007-12,42
2008-01,44
2008-02,47
2008-03,44
2008-04,45
2008-05,45
2008-06,41
2008-07,38
2008-08,40
2008-09,47
2008-10,43
2008-11,45
2008-12,40
2009-01,41
2009-02,40
2009-03,45
2009-04,40
2009-05,40
2009-06,40
2009-07,39
2009-08,39
2009-09,42
2009-10,43
2009-11,43
2009-12,39
2010-01,40
2010-02,43
2010-03,43
2010-04,42
2010-05,39
2010-06,39
2010-07,36
2010-08,37
2010-09,36
2010-10,38
2010-11,36
2010-12,33
2011-01,33
2011-02,37
2011-03,39
2011-04,34
2011-05,32
2011-06,33
2011-07,30
2011-08,32
2011-09,34
2011-10,36
2011-11,35
2011-12,30
2012-01,33
2012-02,35
2012-03,34
2012-04,34
2012-05,35
2012-06,31
2012-07,30
2012-08,31
2012-09,34
2012-10,35
2012-11,34
2012-12,30
2013-01,33
2013-02,34
2013-03,32
2013-04,35
2013-05,32
2013-06,31
2013-07,30
2013-08,30
2013-09,33
2013-10,36
2013-11,34
2013-12,30
2014-01,33
2014-02,37
2014-03,37
2014-04,35
2014-05,34
2014-06,32
2014-07,31
2014-08,30
2014-09,35
2014-10,35
2014-11,36
2014-12,30
2015-01,32
2015-02,37
2015-03,37
2015-04,36
2015-05,34
2015-06,34
2015-07,32
2015-08,31
2015-09,35
2015-10,36
2015-11,35
2015-12,32
2016-01,33
2016-02,37
2016-03,38
2016-04,39
2016-05,37
2016-06,34
2016-07,31
2016-08,31
2016-09,36
2016-10,37
2016-11,41
2016-12,36
2017-01,40
2017-02,42
2017-03,45
2017-04,44
2017-05,40
2017-06,36
2017-07,35
2017-08,35
2017-09,38
2017-10,41
2017-11,42
2017-12,35
2018-01,40
2018-02,40
2018-03,40
2018-04,42
2018-05,39
2018-06,37
2018-07,35
2018-08,36
2018-09,39
2018-10,42
2018-11,40
2018-12,35
2019-01,39
2019-02,44
2019-03,42
2019-04,43
2019-05,41
2019-06,41
2019-07,40
2019-08,39
2019-09,36
