Category: All categories

Month,Data science: (Worldwide)
2004-01,14
2004-02,14
2004-03,11
2004-04,11
2004-05,9
2004-06,10
2004-07,8
2004-08,8
2004-09,12
2004-10,10
2004-11,11
2004-12,9
2005-01,10
2005-02,10
2005-03,9
2005-04,8
2005-05,7
2005-06,8
2005-07,7
2005-08,9
2005-09,10
2005-10,9
2005-11,8
2005-12,6
2006-01,9
2006-02,8
2006-03,7
2006-04,8
2006-05,8
2006-06,6
2006-07,6
2006-08,6
2006-09,7
2006-10,7
2006-11,8
2006-12,5
2007-01,6
2007-02,7
2007-03,6
2007-04,6
2007-05,6
2007-06,6
2007-07,6
2007-08,5
2007-09,6
2007-10,7
2007-11,6
2007-12,5
2008-01,7
2008-02,7
2008-03,6
2008-04,6
2008-05,6
2008-06,5
2008-07,5
2008-08,6
2008-09,8
2008-10,6
2008-11,6
2008-12,5
2009-01,7
2009-02,7
2009-03,7
2009-04,7
2009-05,5
2009-06,5
2009-07,5
2009-08,6
2009-09,8
2009-10,7
2009-11,8
2009-12,7
2010-01,8
2010-02,7
2010-03,7
2010-04,7
2010-05,6
2010-06,6
2010-07,6
2010-08,6
2010-09,8
2010-10,7
2010-11,7
2010-12,6
2011-01,7
2011-02,7
2011-03,6
2011-04,6
2011-05,6
2011-06,6
2011-07,5
2011-08,6
2011-09,9
2011-10,7
2011-11,8
2011-12,6
2012-01,8
2012-02,8
2012-03,8
2012-04,7
2012-05,7
2012-06,7
2012-07,6
2012-08,8
2012-09,11
2012-10,9
2012-11,9
2012-12,8
2013-01,9
2013-02,9
2013-03,9
2013-04,10
2013-05,10
2013-06,9
2013-07,8
2013-08,10
2013-09,14
2013-10,12
2013-11,12
2013-12,11
2014-01,15
2014-02,14
2014-03,14
2014-04,14
2014-05,14
2014-06,14
2014-07,14
2014-08,18
2014-09,21
2014-10,19
2014-11,19
2014-12,17
2015-01,21
2015-02,21
2015-03,21
2015-04,22
2015-05,22
2015-06,22
2015-07,22
2015-08,26
2015-09,30
2015-10,28
2015-11,27
2015-12,25
2016-01,30
2016-02,30
2016-03,29
2016-04,30
2016-05,31
2016-06,31
2016-07,30
2016-08,33
2016-09,40
2016-10,37
2016-11,40
2016-12,37
2017-01,46
2017-02,47
2017-03,50
2017-04,48
2017-05,49
2017-06,48
2017-07,47
2017-08,53
2017-09,59
2017-10,59
2017-11,61
2017-12,54
2018-01,64
2018-02,65
2018-03,65
2018-04,65
2018-05,67
2018-06,65
2018-07,67
2018-08,72
2018-09,77
2018-10,79
2018-11,76
2018-12,71
2019-01,85
2019-02,87
2019-03,87
2019-04,86
2019-05,87
2019-06,91
2019-07,95
2019-08,98
2019-09,100
